customer_city,persentase_pengiriman_terlambat
rio de janeiro,15.4039136979428
salvador,21.60737812911726
goiania,15.869565217391305
fortaleza,28.381962864721483
nova iguacu,15.217391304347828
belem,15.953307392996107
vitoria,16.289592760180994
campo grande,17.289719626168225
sao goncalo,29.807692307692307
vila velha,23.67149758454106
sao luis,31.03448275862069
teresina,27.167630057803464
serra,25.609756097560975
macae,25.308641975308642
maceio,30.87248322147651
campos dos goytacazes,22.22222222222222
volta redonda,21.875
sumare,21.1864406779661
canoas,19.130434782608695
itaquaquecetuba,15.315315315315313
aracaju,22.018348623853214
